plan,symptoms
Hydration Boost Plan,"dehydration, sunstroke, fatigue"
Immunity Boost Plan,"cold, cough, flu, body pain"
Winter Wellness Diet,"cold, dry skin, sore throat"
Sun Protection Routine,"sunburn, heat rash, dizziness"
Mental Health Therapy,"anxiety, depression, stress"
Vitamin D Boost Plan,"fatigue, low energy, joint pain"
Respiratory Care Plan,"cough, breathlessness, wheezing"
Allergy Management Kit,"sneezing, itching, runny nose"
Skin Care Routine,"acne, oily skin, dry skin"
Weight Loss Program,"obesity, fatigue, poor stamina"
Eye Health Plan,"dry eyes, blurry vision, headache"
Diabetes Management Plan,"fatigue, frequent urination, thirst"
Daily Yoga Routine,"fatigue, stress, back pain"
Neurologist Consultation,"headache, dizziness, confusion"
Low Sugar Diet Plan,"diabetes, obesity, sugar craving"
